loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
11,-0.516983,1.46744,0.244867,1.50646e-05,5.17534,0.00887537,0.00169735,-1.33739e-17,1.6231e-17,0.00384831,499976,-0.353724,1.51698,0.167541,1.10086e-05,6.7155,0.00861035,0.00127853,0,0,0.00192416,249988,-10.3112,1.32573,2.60155,3.71698e-05,41.2526,0.0403634,0.000920879,5.14165e-18,-6.30457e-16,0.0038483,499974,-6.83573,1.32834,1.72468,2.80339e-05,27.6731,0.0286911,0.000977093,0,0,0.00192415,249987
12,-1.11488,1.35521,0.425433,1.12377e-05,5.27218,0.00787344,0.0014273,-5.02732e-17,-4.02358e-17,0.00384847,499988,-0.683749,1.44598,0.260913,9.16178e-06,5.62453,0.00723303,0.00126666,0,0,0.00192423,249994,-15.0758,1.32154,3.85344,3.21622e-05,59.2405,0.0450414,0.000714058,-8.43505e-17,-1.81526e-16,0.00384845,499986,-8.34593,1.32375,2.13326,2.90485e-05,33.1205,0.0319882,0.000908101,0,0,0.00192423,249993113,0.154197,-1.53609,0.219903,1.67308e-05,4.65558,0.00883068,0.00189462,3.57224e-18,-2.09696e-17,0.00179338,155636,0.093319,-1.55827,0.133098,1.38212e-05,7.57869,0.0102354,0.00135034,0,0,0.000896689,77818,-16.6395,1.31916,4.29229,2.04356e-05,64.7374,0.0375549,0.000544153,6.26781e-17,-4.79197e-17,0.00179172,155470,-10.1107,1.32054,2.60813,1.68155e-05,39.5783,0.0266268,0.000631525,0,0,0.000895861,77735
14,-1.01056,1.54611,0.0493652,1.40329e-05,40.9443,0.0239774,0.000585254,7.2657e-18,-1.23177e-16,0.0031728,453908,-0.663818,1.55585,0.0324272,1.06814e-05,44.4274,0.0217865,0.000490275,0,0,0.0015864,226954,-22.3577,1.31535,5.84977,3.11045e-05,85.6212,0.0533369,0.000583171,-1.80316e-16,-6.84891e-16,0.0031728,453908,-7.4923,1.31891,1.96033,4.64094e-05,29.1454,0.0379751,0.0012221,0,0,0.0015864,226954
15,-0.785738,1.51366,0.117118,1.5448e-05,13.8098,0.0146297,0.00105593,-1.52235e-17,3.23909e-17,0.00382306,498322,-0.517742,1.53918,0.0771725,1.17221e-05,16.4315,0.0138853,0.000844205,0,0,0.00191153,249161,-23.7541,1.30571,6.45942,2.00258e-05,87.5093,0.0433772,0.000461666,7.72632e-17,1.01671e-16,0.00382306,498322,-6.64699,1.31053,1.8075,3.57832e-05,24.9972,0.0309487,0.00115621,0,0,0.00191153,249161
16,-1.31868,1.47412,0.200361,1.00399e-05,13.6698,0.0117698,0.000853022,-1.46549e-17,4.2075e-17,0.00384839,499990,-0.639178,1.52654,0.0971185,1.03564e-05,14.5034,0.0122677,0.000844202,0,0,0.00192419,249995,-31.6609,1.31946,8.13717,1.7152e-05,123.312,0.0474814,0.000361235,-1.52565e-17,3.9641e-16,0.00384839,499990,-6.84874,1.32397,1.7602,3.96453e-05,27.2159,0.0338732,0.0011704,0,0,0.00192419,249995
17,-1.63974,1.43852,0.297412,1.29685e-05,12.4029,0.0127936,0.00101367,3.80096e-18,-4.27746e-17,0.00384845,499990,-0.972891,1.48211,0.17646,1.09288e-05,11.031,0.0110227,0.000991478,0,0,0.00192423,249995,-24.3542,1.31474,6.38613,2.57679e-05,93.034,0.0506121,0.000509124,-1.27381e-16,-1.14439e-17,0.00384845,499990,-6.90494,1.31908,1.81061,4.54425e-05,26.885,0.036089,0.00125918,0,0,0.00192423,249995
18,-1.19678,1.45644,0.231336,2.05428e-05,10.514,0.0147923,0.00138875,3.07011e-17,1.96543e-16,0.00378236,494916,-0.916315,1.48199,0.177122,1.34154e-05,10.3862,0.0118503,0.00113207,0,0,0.00189118,247458,-25.9843,1.30273,7.14708,2.15575e-05,94.6095,0.0468338,0.000460298,4.18362e-17,7.78286e-16,0.00378228,494910,-6.80993,1.30742,1.8731,4.11277e-05,25.2924,0.0334027,0.00123127,0,0,0.00189114,247455
19,-1.46083,1.45611,0.245638,2.9538e-05,12.7587,0.0195407,0.00151162,1.06182e-18,-4.20868e-17,0.00111421,119812,-0.875463,1.49746,0.147209,2.46435e-05,11.9995,0.0172422,0.00142925,0,0,0.000557105,59906,-10.368,1.28588,3.06257,5.79163e-05,35.4262,0.0471977,0.0012271,-2.07614e-17,-2.04158e-16,0.00110637,118380,-5.76594,1.29092,1.70318,5.20702e-05,20.1071,0.0336641,0.00154676,0,0,0.000553186,59190
20,-0.383692,1.54991,0.0622631,1.97367e-05,18.4254,0.0190739,0.00103475,9.77771e-18,-8.28324e-17,0.00335461,466782,-0.283464,1.55871,0.0459991,1.33575e-05,23.4864,0.0177134,0.000754089,0,0,0.0016773,233391,-15.8855,1.29628,4.49025,2.00492e-05,56.4219,0.0349415,0.000573793,5.15057e-17,-1.13795e-16,0.00335461,466782,-5.82063,1.30231,1.64528,2.73588e-05,21.1998,0.0249763,0.00109539,0,0,0.0016773,233391
21,-0.940615,1.42544,0.286671,9.41139e-06,6.57463,0.0079481,0.00118411,1.48368e-17,-1.18198e-17,0.003799,496740,-0.469108,1.51512,0.14297,9.43538e-06,8.53367,0.00898694,0.0010499,0,0,0.0018995,248370,-14.0405,1.32302,3.5689,2.95601e-05,55.5175,0.0417863,0.00070741,-6.93605e-17,5.84701e-16,0.003799,496740,-6.9468,1.32645,1.76578,2.98727e-05,27.896,0.0297501,0.00100412,0,0,0.0018995,248370
