loop#,ALPHA[AXIS_X:0.1],ANGLE[AXIS_X:0.1],BETA[AXIS_X:0.1],EPSILON[AXIS_X:0.1],GAMMA[AXIS_X:0.1],RMAJOR[AXIS_X:0.1],RMINOR[AXIS_X:0.1],X_AVERAGE[AXIS_X:0.1],X_P_AVE[AXIS_X:0.1],I_TOT[AXIS_X:0.1],N_PARTICLES[AXIS_X:0.1],ALPHA[AXIS_X:0.5],ANGLE[AXIS_X:0.5],BETA[AXIS_X:0.5],EPSILON[AXIS_X:0.5],GAMMA[AXIS_X:0.5],RMAJOR[AXIS_X:0.5],RMINOR[AXIS_X:0.5],X_AVERAGE[AXIS_X:0.5],X_P_AVE[AXIS_X:0.5],I_TOT[AXIS_X:0.5],N_PARTICLES[AXIS_X:0.5]
10,-0.433365,1.5379,0.089684,1.36849e-05,13.2443,0.0134701,0.00101595,0,0,0.00192423,99999,-9.73667,1.25393,3.22317,6.88868e-05,29.7232,0.047618,0.00144665,0,0,0.00192423,99999
11,-0.634008,1.5087,0.136192,1.50015e-05,10.294,0.0124506,0.00120488,0,0,0.00192423,99999,-9.05645,1.2354,3.19106,5.48737e-05,26.0162,0.0400104,0.00137149,0,0,0.00192423,99999
12,-0.646857,1.50081,0.151961,1.71968e-05,9.33411,0.0127003,0.00135405,0,0,0.00192423,99999,-8.46369,1.22493,3.08757,4.67524e-05,23.5247,0.0352481,0.00132638,0,0,0.00192423,99999
13,-0.0255445,1.56823,0.0994036,2.04936e-05,10.0666,0.0143632,0.00142681,0,0,0.00157436,60689,-12.9337,1.22757,4.64666,2.17954e-05,36.2152,0.029834,0.000730556,0,0,0.00157098,60440
14,0.141141,-1.56416,0.0478183,1.43022e-05,21.3291,0.0174661,0.000818853,0,0,0.00192423,99999,-12.6143,1.25698,4.1171,2.61539e-05,38.8913,0.0335295,0.000780025,0,0,0.00192423,99999
15,-0.192169,1.55268,0.0969156,1.08277e-05,10.6993,0.0107651,0.00100582,0,0,0.00192423,99999,-10.404,1.2608,3.36054,3.69835e-05,32.5077,0.0364074,0.00101582,0,0,0.00192423,99999
16,-0.531441,1.49183,0.186925,7.93039e-06,6.86067,0.00739874,0.00107186,0,0,0.00192425,100000,-10.2702,1.25742,3.3567,4.06879e-05,31.721,0.0377634,0.00107744,0,0,0.00192423,99999
17,-0.750226,1.43922,0.267735,7.56713e-06,5.83725,0.00670243,0.00112901,0,0,0.00192423,99998,-10.5198,1.24886,3.53729,3.60137e-05,31.5682,0.0355423,0.00101326,0,0,0.00192423,99998
18,-0.743949,1.44949,0.248143,1.04542e-05,6.26035,0.00814831,0.00128299,0,0,0.00192423,99998,-10.8656,1.24317,3.72096,3.61912e-05,31.9972,0.0359398,0.001007,0,0,0.00192423,99998
19,-0.388836,1.51389,0.165197,1.70339e-05,6.96859,0.0109124,0.00156097,0,0,0.00187454,94523,-12.2554,1.23526,4.29913,3.04325e-05,35.1689,0.0346459,0.000878386,0,0,0.00187268,94354
20,-0.0761663,1.56152,0.120706,1.91657e-05,8.33266,0.0126378,0.00151654,0,0,0.00192423,99999,-15.3089,1.23399,5.38075,1.91837e-05,43.7418,0.0306914,0.000625052,0,0,0.00192423,99999
21,0.399053,-1.55626,0.0421846,9.12331e-06,27.4803,0.0158355,0.000576129,0,0,0.00192424,100000,-12.6851,1.26486,4.02923,1.85322e-05,40.1844,0.0286175,0.000647585,0,0,0.00192423,99999
22,-0.19513,1.54964,0.111287,1.05081e-05,9.32793,0.00990265,0.00106114,0,0,0.00192423,99999,-11.3038,1.27131,3.51528,5.70355e-05,36.6335,0.0478381,0.00119226,0,0,0.00192423,99999
23,-0.570879,1.49945,0.163484,1.24818e-05,8.11029,0.0100866,0.00123746,0,0,0.00192423,99999,-10.5222,1.24591,3.57287,4.9505e-05,31.2683,0.0415137,0.0011925,0,0,0.00192423,99998
24,-0.297219,1.53698,0.122328,1.84514e-05,8.89688,0.0128197,0.0014393,0,0,0.00181555,89258,-10.6108,1.22809,3.81553,3.68209e-05,29.7703,0.0351506,0.00104752,0,0,0.00181441,89146
25,0.173115,-1.55633,0.0854938,1.33065e-05,12.0473,0.0126626,0.00105085,0,0,0.00192423,99999,-12.2639,1.23266,4.33801,1.41033e-05,34.9014,0.0235169,0.000599708,0,0,0.00192425,100000
26,0.216872,-1.54297,0.132217,7.69292e-06,7.91905,0.00780814,0.000985243,0,0,0.00192423,99999,-12.3265,1.28122,3.69492,2.59621e-05,41.3929,0.0342052,0.000759008,0,0,0.00192423,99999
27,-0.30034,1.51235,0.204918,7.39808e-06,5.3202,0.00628405,0.00117728,0,0,0.00192423,99998,-11.7687,1.27028,3.67112,3.97055e-05,37.9998,0.0406646,0.000976414,0,0,0.00192423,99998
28,-0.551451,1.47819,0.213784,1.01389e-05,6.10008,0.00789729,0.00128384,0,0,0.00192423,99998,-11.5285,1.25221,3.8281,3.96547e-05,34.9797,0.039216,0.00101119,0,0,0.00192423,99998
29,-0.36942,1.51641,0.164005,1.48245e-05,6.92951,0.0101501,0.00146053,0,0,0.00192409,99990,-11.5887,1.23743,4.03966,3.2888e-05,33.4925,0.0351209,0.000936421,0,0,0.00192409,99990
