t#,time,x0,x1,x2,v1,v2,v3
29,1.43468e-07,-4.20525e-05,0.00397506,0,32999.8,-5879.46,-37501.7,
30,1.45139e-07,1.21003e-05,0.00396365,0,31776.9,-7793.02,-37168.9,
31,1.46886e-07,6.64289e-05,0.00394784,0,30425.9,-10477.9,-36706.1,
32,1.52002e-07,0.000211338,0.00386403,0,26171.1,-23509.8,-34230.8,
33,1.54121e-07,0.000264883,0.00380654,0,24387.7,-30928.6,-32510.4,
34,1.56352e-07,0.000317675,0.00372778,0,23070,-39832.5,-30122.3,
35,1.58672e-07,0.000370594,0.00362391,0,22757.1,-49761.7,-26914.4,
36,1.62463e-07,0.000460798,0.00340431,0,25660.9,-65959.7,-19888.8,
37,1.64403e-07,0.000513707,0.00326883,0,29086.8,-73537.6,-15366.5,
38,1.66344e-07,0.000574491,0.00311966,0,33761.6,-80028.3,-10195,
39,1.68284e-07,0.000645456,0.00295895,0,39549,-85415.2,-4364.09,
40,1.70588e-07,0.000745592,0.00275627,0,47576.4,-90242.7,3445.53,
41,1.73894e-07,0.000924565,0.00245039,0,61071.2,-94241.3,16455.1,
42,1.76432e-07,0.0010944,0.00221005,0,72997.8,-94709.9,28059.9,
43,1.7897e-07,0.0012963,0.00197208,0,86341.3,-92286.8,41226,
44,1.82502e-07,0.00163745,0.00166094,0,107292,-82365.7,62148.6,
45,1.85513e-07,0.00199037,0.00143631,0,127529,-65276.2,81275,
46,1.88117e-07,0.0023474,0.0012948,0,146929,-41996,95960.6,
47,1.90374e-07,0.00269942,0.00122879,0,165255,-15738.4,103753,
48,1.92631e-07,0.00309448,0.0012257,0,185074,13045.8,104135,
49,1.94915e-07,0.0035415,0.00128712,0,206716,40031.4,96827,
50,1.97198e-07,0.00403982,0.00140422,0,230022,61465.9,84372.7,
51,1.99482e-07,0.00459333,0.00156303,0,255064,76640.4,69912.1,
52,2.01765e-07,0.0052061,0.0017502,0,281943,86519.3,55514,
53,2.04049e-07,0.00588246,0.00195516,0,310784,92436.6,42110,
54,2.07126e-07,0.00690263,0.00224604,0,353020,95901,26052.9,
55,2.09931e-07,0.00795116,0.00251528,0,395318,95582.4,13372,
56,2.12946e-07,0.00921784,0.00279912,0,445587,92149.7,1619.38,
57,2.15233e-07,0.010284,0.0030049,0,487677,87583.3,-6105.56,
58,2.16734e-07,0.0110385,0.00313358,0,517553,83671.3,-10653.1,
59,2.18236e-07,0.0118394,0.00325583,0,549483,79017,-14789.6,
60,2.19957e-07,0.0128186,0.00338655,0,589005,72729.6,-19023.2,
61,2.21888e-07,0.0140021,0.00351915,0,637762,64380.2,-23119.4,
62,2.24136e-07,0.0155064,0.00365125,0,701758,52771.3,-26992.7,
63,2.25965e-07,0.0168427,0.00373786,0,760940,41692.2,-29399.6,
64,2.28357e-07,0.0187668,0.00381795,0,850731,24835.7,-31491.6,
65,2.30801e-07,0.0209773,0.00385487,0,961378,4982.14,-32381.2,
66,2.32984e-07,0.0232021,0.00384523,0,1.08108e+06,-13742.3,-32175.7,
67,2.34512e-07,0.0249278,0.0038151,0,1.17874e+06,-25167.4,-31584.6,
68,2.36119e-07,0.0269124,0.0037687,0,1.29255e+06,-30878.6,-30760.9,
69,2.37726e-07,0.0290831,0.00372411,0,1.40733e+06,-21126.4,-30057.1,
70,2.38197e-07,0.029753,0.00371575,0,1.43718e+06,-14069.7,-29937.7,
71,2.38668e-07,0.0304361,0.00371113,0,1.46339e+06,-5341.39,-29874.4,
72,2.39159e-07,0.0311597,0.00371096,0,1.48588e+06,4746.78,-29870.2,
73,2.39649e-07,0.031893,0.00371577,0,1.50316e+06,14733.7,-29922.6,
74,2.4014e-07,0.0326337,0.00372523,0,1.51576e+06,23624.8,-30018.2,
75,2.4063e-07,0.0333795,0.00373868,0,1.5247e+06,30890.1,-30140.6,
76,2.41121e-07,0.0341291,0.00375527,0,1.53109e+06,36506,-30274.7,
77,2.4163e-07,0.034909,0.003775,0,1.53589e+06,40855.7,-30414.4,
78,2.4219e-07,0.0357711,0.00379893,0,1.53975e+06,44324.7,-30559.7,
79,2.42862e-07,0.0368062,0.00382972,0,1.54309e+06,47201.2,-30713.4,
80,2.43836e-07,0.0383111,0.0038771,0,1.54635e+06,49840.6,-30884.9,
81,2.45152e-07,0.0403482,0.00394416,0,1.54903e+06,51860.2,-31001.3,
82,2.46468e-07,0.0423881,0.00401325,0,1.55058e+06,53050.3,-30959.3,
83,2.47969e-07,0.0447169,0.00409364,0,1.55159e+06,53981.3,-30705.5,
84,2.49268e-07,0.0467324,0.00416417,0,1.5521e+06,54618.1,-30350.1,
85,2.5026e-07,0.0482717,0.00421855,0,1.55235e+06,55047.3,-30020.5,
86,2.50878e-07,0.0492307,0.00425263,0,1.55247e+06,55304.1,-29784.5,
87,2.51516e-07,0.0502212,0.004288,0,1.55257e+06,55573,-29502.4,
88,2.52228e-07,0.051327,0.00432769,0,1.55265e+06,55876.8,-29149.4,
89,2.53103e-07,0.052686,0.00437676,0,1.55273e+06,56256.5,-28664.5,
90,2.54155e-07,0.0543201,0.00443621,0,1.5528e+06,56725.6,-28007.2,
91,2.55154e-07,0.0558708,0.00449309,0,1.55284e+06,57186.6,-27305.8,
92,2.5602e-07,0.0572158,0.0045428,0,1.55287e+06,57598.9,-26635.5,
93,2.56886e-07,0.0585608,0.00459287,0,1.55289e+06,58021,-25910.5,
94,2.57752e-07,0.0599057,0.0046433,0,1.55291e+06,58447.5,-25140,
95,2.58752e-07,0.0614579,0.00470197,0,1.55292e+06,58944.5,-24191.5,
96,2.59751e-07,0.0630102,0.00476114,0,1.55292e+06,59446.9,-23173.6,
97,2.60598e-07,0.0643248,0.00481165,0,1.55293e+06,59872.2,-22263.4,
98,2.61941e-07,0.0664105,0.00489251,0,1.55293e+06,60539.4,-20735.9,
99,2.63321e-07,0.068554,0.00497654,0,1.55293e+06,61208.9,-19059.5,
100,2.64409e-07,0.0702433,0.0050434,0,1.55293e+06,61717.6,-17670.9,
101,2.65497e-07,0.0719326,0.0051108,0,1.55292e+06,62203.4,-16231.5,
102,2.66585e-07,0.0736218,0.00517872,0,1.55292e+06,62664.7,-14736.2,
