loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
28,-0.448326,1.49316,0.202499,1.46957e-05,5.93087,0.00936326,0.0015695,9.24063e-18,1.98131e-17,0.00377164,195066,-0.376052,1.51364,0.169852,8.76022e-06,6.72007,0.00768491,0.00113992,0,0,0.00188582,97533,-20.4655,1.32797,5.08105,2.26259e-05,82.6279,0.0445447,0.000507936,5.491e-17,-1.02926e-16,0.00377151,195004,-8.80861,1.33025,2.18694,2.62837e-05,35.9367,0.031644,0.000830606,0,0,0.00188576,97502
29,-0.105138,1.5603,0.0999502,1.64015e-05,10.1156,0.0128813,0.00127328,-6.92342e-18,-1.47307e-18,0.00152976,68964,-0.0671401,1.56651,0.0638187,1.28441e-05,15.74,0.0142187,0.000903328,0,0,0.000764882,34482,-14.8729,1.33559,3.57939,3.65781e-05,62.0788,0.049001,0.000746477,1.04101e-17,3.88549e-17,0.0015283,68842,-8.88787,1.33732,2.139,3.06046e-05,37.398,0.0347741,0.000880097,0,0,0.000764149,34421
30,-0.476096,1.54645,0.0625723,1.2647e-05,19.604,0.0157505,0.000802958,-3.62499e-18,-2.60324e-17,0.00336928,187108,-0.309249,1.55931,0.0406435,9.7353e-06,26.9572,0.016201,0.000600909,0,0,0.00168464,93554,-23.975,1.32813,5.9445,2.14063e-05,96.8631,0.0469097,0.00045633,4.94041e-17,-1.27384e-16,0.00336928,187108,-7.32279,1.33179,1.81565,3.50423e-05,30.0846,0.033418,0.00104861,0,0,0.00168464,93554
31,-0.480711,1.51033,0.152671,1.2876e-05,8.06361,0.0102079,0.00126137,7.94452e-18,1.6859e-17,0.00364586,194628,-0.351017,1.53563,0.111479,8.81675e-06,10.0755,0.00943093,0.000934876,0,0,0.00182293,97314,-23.9303,1.32279,6.06968,1.68265e-05,94.5121,0.0411372,0.000409033,5.15048e-17,1.47422e-16,0.00364579,194626,-7.39761,1.32642,1.87633,2.72159e-05,29.6987,0.0292998,0.000928875,0,0,0.00182289,97313
32,-1.06438,1.45046,0.239299,1.3644e-05,8.91315,0.0111071,0.00122841,-1.73931e-17,1.20998e-18,0.00382445,199366,-0.770678,1.48623,0.173267,9.42172e-06,9.19934,0.00934287,0.00100844,0,0,0.00191222,99683,-23.6421,1.31977,6.07292,2.28391e-05,92.2041,0.0473743,0.000482098,-1.63932e-17,1.08983e-16,0.00382445,199366,-7.40213,1.32343,1.90138,3.64741e-05,29.3426,0.0337406,0.00108101,0,0,0.00191222,99683
33,-1.3343,1.42446,0.30354,1.34247e-05,9.15979,0.0112075,0.00119783,-2.18434e-17,1.43509e-17,0.00384647,199946,-1.05892,1.44959,0.240901,8.45781e-06,8.80578,0.00869301,0.000972944,0,0,0.00192324,99973,-34.5323,1.3128,9.1194,1.53061e-05,130.872,0.0462885,0.000330668,1.67013e-19,-5.39375e-16,0.00384647,199946,-7.43257,1.31672,1.96282,3.55565e-05,28.6543,0.0329769,0.00107823,0,0,0.00192324,99973
34,-1.44176,1.39783,0.36791,1.25427e-05,8.36802,0.0103979,0.00120627,4.26104e-18,3.79608e-17,0.00384762,199978,-1.20324,1.41869,0.307045,7.5144e-06,7.97212,0.0078289,0.000959828,0,0,0.00192381,99989,-37.1923,1.30726,10.0418,1.30572e-05,137.85,0.0439427,0.000297141,-1.62346e-17,-4.1196e-16,0.00384761,199976,-7.65142,1.31104,2.06586,3.17346e-05,28.8229,0.0312924,0.00101413,0,0,0.00192381,99988
35,-0.89235,1.35181,0.424141,1.07737e-05,4.23512,0.0069114,0.00155883,-2.06517e-17,-3.60514e-18,0.00341759,146608,-0.540959,1.45928,0.257118,8.8861e-06,5.02741,0.00672401,0.00132155,0,0,0.0017088,73304,-23.3098,1.30187,6.43516,1.54763e-05,84.5897,0.0375308,0.000412364,1.97031e-18,-2.11547e-16,0.00341623,146478,-8.7496,1.30452,2.4155,2.06155e-05,32.1074,0.0266666,0.000773082,0,0,0.00170812,73239
36,-0.824923,1.45522,0.232047,2.22721e-05,7.24207,0.0127839,0.00174219,-1.78598e-18,-6.16563e-17,0.00321237,182200,-0.376576,1.53557,0.105926,2.43952e-05,10.7793,0.0162261,0.00150345,0,0,0.00160619,91100,-14.7726,1.30868,3.98022,4.59252e-05,55.0797,0.0520726,0.000881945,9.14215e-17,1.9905e-16,0.00321237,182200,-9.82082,1.31002,2.64605,3.4541e-05,36.8279,0.0369133,0.000935732,0,0,0.00160619,91100
37,-0.0804869,1.56562,0.0644863,1.46024e-05,15.6076,0.0150968,0.000967248,-5.14946e-18,-2.64025e-18,0.00297436,175640,-0.0504328,1.56876,0.0404047,1.16529e-05,24.8125,0.0170041,0.000685301,0,0,0.00148718,87820,-25.5189,1.32141,6.50882,1.74741e-05,100.205,0.0431805,0.000404675,4.52856e-17,-8.23794e-17,0.00297436,175640,-10.0957,1.32325,2.575,2.20844e-05,39.9702,0.0306442,0.000720672,0,0,0.00148718,87820
38,-0.332609,1.55716,0.0454522,1.20729e-05,24.4351,0.0171772,0.000702842,4.2552e-18,9.89205e-18,0.00301063,176666,-0.239057,1.5634,0.0326679,8.39875e-06,32.3604,0.0164864,0.000509434,0,0,0.00150531,88333,-30.0299,1.32484,7.54648,1.71143e-05,119.631,0.0466521,0.000366848,6.37297e-17,1.25859e-16,0.00301059,176664,-8.52691,1.32762,2.14281,3.01362e-05,34.398,0.0331719,0.000908486,0,0,0.00150529,88332
39,-0.353365,1.55058,0.0641652,1.12055e-05,17.5308,0.0140186,0.00079933,4.64328e-18,-4.01356e-17,0.00321328,182418,-0.247916,1.56026,0.0450153,7.98616e-06,23.58,0.0137235,0.000581933,0,0,0.00160664,91209,-28.7773,1.32487,7.23139,1.62213e-05,114.658,0.0444643,0.000364817,3.32367e-19,-4.15475e-16,0.0032133,182420,-7.95598,1.32807,1.99924,2.93376e-05,32.161,0.0316437,0.000927124,0,0,0.00160665,91210
40,-0.527635,1.52836,0.102224,1.16109e-05,12.5058,0.0120608,0.000962692,2.64608e-18,2.99132e-17,0.00334864,186220,-0.357383,1.54877,0.0692406,8.57088e-06,16.287,0.0118179,0.000725249,0,0,0.00167432,93110,-23.4865,1.32694,5.85372,2.22667e-05,94.4044,0.0472461,0.000471291,1.18892e-16,1.62748e-16,0.00334864,186220,-7.82797,1.33009,1.95103,3.34034e-05,31.9202,0.0336218,0.000993504,0,0,0.00167432,93110
41,-0.718781,1.50742,0.13288,1.31659e-05,11.4136,0.012283,0.00107188,1.07723e-17,8.02343e-17,0.00333854,185924,-0.514677,1.53188,0.0951482,9.19364e-06,13.2939,0.0110636,0.000830979,0,0,0.00166927,92962,-23.5651,1.32395,5.94809,2.33774e-05,93.5281,0.0482209,0.000484798,-3.26541e-17,2.88394e-16,0.00333854,185924,-7.73115,1.32723,1.95143,3.56277e-05,31.1417,0.0343213,0.00103806,0,0,0.00166927,92962
42,-0.918229,1.49894,0.143606,1.63239e-05,12.8347,0.0145118,0.00112487,1.4566e-17,1.26987e-17,0.00310864,178692,-0.702082,1.51893,0.1098,1.0675e-05,13.5967,0.0120638,0.000884885,0,0,0.00155432,89346,-21.3447,1.31744,5.538,2.67721e-05,82.448,0.048531,0.000551648,5.36011e-18,-1.80166e-16,0.00310755,178652,-7.36315,1.32108,1.91041,3.88045e-05,28.9027,0.0345605,0.0011228,0,0,0.00155377,89326
43,-1.05583,1.4911,0.159059,2.31198e-05,13.2956,0.0175881,0.00131451,-2.91209e-18,5.31139e-17,0.00338824,187548,-0.90619,1.50259,0.136516,1.34688e-05,13.3404,0.0134355,0.00100248,0,0,0.00169412,93774,-18.3521,1.30467,5.01643,3.08176e-05,67.3383,0.0472162,0.00065269,-2.24349e-17,1.63354e-16,0.00338824,187548,-6.55341,1.30938,1.79133,4.31498e-05,24.5332,0.0336787,0.00128122,0,0,0.00169412,93774
44,-0.527674,1.50928,0.147255,2.02637e-05,8.68183,0.0132885,0.0015249,5.04351e-18,3.4639e-18,0.00330949,157724,-0.371159,1.53674,0.103579,1.44038e-05,10.9844,0.0125857,0.00114446,0,0,0.00165475,78862,-15.637,1.30778,4.22629,2.78251e-05,58.0925,0.0416363,0.00066829,6.95489e-17,3.55495e-16,0.0033066,157492,-7.30361,1.31116,1.97398,2.9787e-05,27.5295,0.0296278,0.00100537,0,0,0.0016533,78746
