loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
37,-3.93426,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,-1.02178e-17,-2.17303e-16,0.00384846,5999778,-31.4834,1.29287,8.99077,9.5899e-06,110.358,0.03383,0.000283474,-4.18391e-16,2.76162e-15,0.00384846,5999770
38,-3.93426,1.40452,0.701701,8.47465e-06,23.4835,0.0143042,0.000592459,-2.10813e-17,1.80532e-16,0.00384846,5999776,-31.4835,1.29287,8.99079,9.58988e-06,110.358,0.0338299,0.000283473,1.88375e-16,2.61447e-16,0.00384845,5999770
39,-3.93425,1.40452,0.7017,8.47464e-06,23.4835,0.0143042,0.000592459,-1.25401e-16,6.01252e-16,0.00384846,5999774,-31.4834,1.29287,8.99078,9.58989e-06,110.358,0.0338299,0.000283473,-2.28393e-16,-4.99828e-16,0.00384845,5999774
40,-3.93425,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,1.55654e-16,-1.68393e-16,0.00384846,5999776,-31.4835,1.29287,8.99079,9.58988e-06,110.359,0.0338299,0.000283473,1.31026e-16,-1.10265e-15,0.00384845,5999770
41,-3.93425,1.40452,0.701699,8.47465e-06,23.4835,0.0143042,0.000592459,-2.61937e-17,2.22799e-16,0.00384846,5999776,-31.4835,1.29287,8.99079,9.58988e-06,110.358,0.0338299,0.000283473,-3.97191e-16,-1.58771e-15,0.00384845,5999770
42,-3.93425,1.40452,0.701699,8.47466e-06,23.4834,0.0143042,0.00059246,1.23931e-16,4.02701e-16,0.00384846,5999776,-31.4835,1.29287,8.9908,9.58988e-06,110.359,0.0338299,0.000283473,-9.07066e-17,-1.77442e-15,0.00384845,5999768
43,-3.93425,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,5.24579e-17,7.5229e-16,0.00384845,5999772,-31.4834,1.29287,8.99078,9.5899e-06,110.358,0.0338299,0.000283474,1.03759e-16,-1.10327e-15,0.00384846,5999772
44,-3.93425,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,1.07273e-16,-4.49488e-16,0.00384845,5999768,-31.4835,1.29287,8.9908,9.58987e-06,110.359,0.0338299,0.000283473,2.27127e-16,-1.00425e-15,0.00384845,5999770
45,-3.93425,1.40452,0.7017,8.47465e-06,23.4835,0.0143042,0.000592459,3.85376e-17,1.07651e-16,0.00384846,5999770,-31.4835,1.29287,8.9908,9.58988e-06,110.359,0.03383,0.000283473,4.18323e-17,1.91972e-15,0.00384846,5999772
46,-3.93425,1.40452,0.701699,8.47465e-06,23.4835,0.0143042,0.00059246,-1.44916e-17,-1.23684e-17,0.00384846,5999774,-31.4835,1.29287,8.9908,9.58987e-06,110.359,0.0338299,0.000283473,-6.81465e-16,-2.33129e-15,0.00384845,5999774
47,-3.93426,1.40452,0.7017,8.47464e-06,23.4835,0.0143042,0.000592459,-1.05853e-16,-3.51335e-16,0.00384845,5999770,-31.4834,1.29287,8.99077,9.58991e-06,110.358,0.03383,0.000283474,-8.74686e-17,3.62179e-16,0.00384845,5999768
48,-3.93425,1.40452,0.701699,8.47465e-06,23.4834,0.0143042,0.00059246,4.61281e-17,-6.98387e-16,0.00384846,5999780,-31.4835,1.29287,8.99079,9.58988e-06,110.359,0.0338299,0.000283473,1.8165e-16,-1.70973e-15,0.00384845,5999770
49,-3.93426,1.40452,0.7017,8.47464e-06,23.4835,0.0143042,0.000592459,1.41448e-16,1.21623e-16,0.00384846,5999770,-31.4835,1.29287,8.99079,9.58988e-06,110.359,0.0338299,0.000283473,4.78993e-16,-7.99401e-16,0.00384845,5999772
