loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
11,-2.65985,1.37371,0.602925,8.59335e-06,13.3927,0.0109386,0.000785602,2.19266e-17,1.11848e-16,0.00375235,493678,-14.404,1.28553,4.24286,2.33606e-05,49.1353,0.0353059,0.000661662,1.10692e-16,6.41252e-17,0.00375235,493678
12,-2.09951,1.35249,0.565474,9.34814e-06,9.56357,0.00968275,0.000965443,4.93251e-17,4.85183e-17,0.00377451,495114,-32.4616,1.29959,9.03423,1.13553e-05,116.751,0.0377922,0.000300468,1.27466e-17,1.34945e-16,0.00377451,495114
13,-1.93776,1.4601,0.271855,6.52711e-06,17.4905,0.0107503,0.000607157,-1.11576e-19,-7.09206e-18,0.000546146,176162,-24.0963,1.31961,6.19337,1.13813e-05,93.9119,0.0337522,0.000337201,1.25708e-17,-1.92223e-16,0.000539933,175340
14,-0.981776,1.49779,0.145492,1.76609e-05,13.4983,0.0154809,0.00114082,-1.61528e-18,-2.97062e-17,0.00330958,361300,-12.1747,1.28931,3.54237,2.50739e-05,42.1251,0.0338306,0.00074116,-9.31093e-17,-2.45876e-16,0.00330807,360862
15,-1.26399,1.42431,0.299286,1.14029e-05,8.67956,0.0100548,0.00113408,-1.84504e-18,8.87478e-18,0.0036371,486044,-11.2057,1.31358,2.96954,3.18009e-05,42.622,0.0380677,0.000835376,-4.80848e-17,5.26407e-18,0.00363705,486040
16,-2.1454,1.42253,0.388235,1.67141e-05,14.4313,0.0157023,0.00106444,-3.15182e-18,-7.61349e-17,0.00376223,494330,-19.268,1.30822,5.19189,3.52357e-05,71.6994,0.0520467,0.000677002,1.17087e-16,9.11026e-17,0.00376223,494330
17,-1.95947,1.39096,0.44532,1.67737e-05,10.8676,0.013721,0.00122249,9.16506e-19,1.07469e-16,0.0036931,481360,-18.2286,1.2806,5.45854,2.49244e-05,61.0571,0.0407122,0.000612209,-1.90627e-16,2.41733e-16,0.00369155,481068
18,-1.33258,1.45112,0.248501,2.97699e-05,11.1701,0.0183658,0.00162094,-9.30429e-19,2.52478e-17,0.00115258,234218,-19.2109,1.2819,5.72391,2.81884e-05,64.6514,0.044535,0.00063295,-7.33458e-17,6.27385e-17,0.00114138,232766
19,-0.876234,1.52004,0.102147,2.16596e-05,17.3063,0.0193859,0.00111729,2.87386e-18,9.43269e-17,0.00335315,463780,-11.1271,1.28483,3.29593,2.95081e-05,37.8683,0.034842,0.000846913,5.11646e-17,-5.46327e-17,0.00335317,463756
20,-1.72361,1.4519,0.273928,1.71122e-05,14.4959,0.0158613,0.00107887,-1.22419e-17,-9.50953e-17,0.00356582,465268,-14.1135,1.2991,3.95019,3.52705e-05,50.6787,0.0438879,0.000803651,-2.80683e-17,1.82705e-18,0.00356533,464658
21,-2.32647,1.43537,0.374307,1.8121e-05,17.1315,0.0177816,0.00101909,-1.62036e-17,2.63615e-16,0.00371779,491360,-18.7794,1.28821,5.46706,2.96907e-05,64.6901,0.0456354,0.000650606,8.16334e-17,2.65678e-16,0.00371779,491360
22,-2.11892,1.41593,0.402347,2.01485e-05,13.6445,0.0167804,0.00120072,-1.48414e-17,2.57376e-16,0.00348215,447752,-22.8628,1.27701,6.92917,2.15132e-05,75.5802,0.0421281,0.000510661,-1.39211e-16,-8.66639e-16,0.00347772,446440
23,-2.28526,1.42292,0.403929,2.52342e-05,15.4047,0.0199328,0.00126596,-5.03703e-17,6.51951e-17,0.00263699,413642,-16.928,1.27183,5.2339,3.48089e-05,54.9416,0.045761,0.000760668,4.20258e-19,-4.56438e-16,0.0026356,413536
24,-1.09582,1.49065,0.160451,3.59192e-05,13.7165,0.0222676,0.00161307,1.79913e-19,-1.62593e-16,0.00342219,471432,-15.2086,1.27389,4.67143,2.83384e-05,49.7283,0.0392566,0.000721876,1.87693e-18,-1.13749e-17,0.00342219,471432
25,-0.63707,1.51244,0.127852,3.51106e-05,10.996,0.019682,0.00178389,1.96248e-18,8.10171e-17,0.00242837,347578,-7.62218,1.28524,2.27311,4.40786e-05,25.9985,0.0352791,0.00124943,-8.00216e-17,-6.09847e-16,0.0024258,347238
26,-1.09664,1.49356,0.154684,2.90504e-05,14.2394,0.0203991,0.0014241,2.24685e-18,2.01042e-16,0.00335108,406058,-7.28505,1.30394,2.02647,7.74937e-05,26.6828,0.047139,0.00164394,-1.39609e-16,1.63747e-16,0.00335083,405890
27,-1.71789,1.43005,0.323736,1.6226e-05,12.2049,0.0142122,0.0011417,1.17093e-17,-7.60708e-17,0.00355567,474442,-11.0853,1.29226,3.19386,3.82291e-05,38.7883,0.0400503,0.000954526,-1.11297e-16,-1.244e-16,0.00355548,474360
28,-2.13098,1.42655,0.376004,1.9114e-05,14.7367,0.0169586,0.0011271,-2.49454e-18,3.1707e-17,0.00286047,430402,-13.8208,1.29055,3.99717,3.96997e-05,48.0379,0.0454424,0.000873627,-1.2321e-16,-4.91802e-17,0.0028576,430186
29,-1.2797,1.4792,0.188365,3.18694e-05,14.0029,0.0212134,0.00150232,-1.97245e-18,-1.34127e-16,0.00331066,463694,-15.9327,1.2824,4.74377,3.16964e-05,53.723,0.0430424,0.0007364,-3.44449e-17,-7.16033e-17,0.00331066,463694
30,-1.00406,1.39354,0.347852,2.14537e-05,5.77295,0.0113009,0.00189841,-9.82837e-18,3.07193e-17,0.00247535,222900,-15.7408,1.26816,4.93273,2.01904e-05,50.433,0.0334289,0.00060398,-3.22902e-17,-1.94654e-16,0.00246402,221260
31,-0.584996,1.54277,0.0641817,2.0482e-05,20.9128,0.0207044,0.000989258,7.45474e-18,8.67137e-17,0.00353058,478858,-17.4559,1.31362,4.60502,2.52654e-05,66.3858,0.0423468,0.00059663,3.08525e-17,2.23043e-16,0.00353058,478858
32,-1.34514,1.47794,0.193585,1.93412e-05,14.5126,0.016826,0.00114948,1.03789e-17,-1.44427e-16,0.00368882,489442,-21.3521,1.30877,5.73819,2.88544e-05,79.6266,0.0496267,0.000581429,3.39221e-16,-4.75724e-16,0.00368882,489442
33,-1.60693,1.45197,0.264716,1.79322e-05,13.5323,0.0156877,0.00114307,1.05373e-18,5.89544e-17,0.00348879,475610,-31.0715,1.29866,8.67926,1.76196e-05,111.35,0.0459861,0.00038315,2.90218e-16,-3.45733e-16,0.00348879,475610
34,-4.03755,1.4563,0.492393,8.82976e-06,35.1382,0.0177302,0.000498006,-1.21143e-17,-8.52467e-17,0.00165151,325898,-21.2138,1.2894,6.14475,2.15081e-05,73.4005,0.0413594,0.00052003,8.90911e-17,-3.92789e-16,0.00164507,325316
35,-1.21701,1.45664,0.231727,2.57834e-05,10.707,0.0167231,0.00154179,-2.32108e-17,3.121e-17,0.00339303,381856,-9.17318,1.26817,2.89499,3.57742e-05,29.4119,0.0339801,0.0010528,9.62917e-18,1.65747e-16,0.00339211,381028
36,-1.22717,1.43286,0.280007,2.4722e-05,8.94957,0.0150154,0.00164644,-1.92201e-17,-1.84725e-16,0.00370708,490686,-9.9511,1.27911,3.01552,3.80895e-05,33.1698,0.037111,0.00102637,5.57526e-17,1.44834e-16,0.00370708,490686
37,-1.01523,1.41554,0.306128,1.99056e-05,6.63348,0.0116279,0.00171189,-7.9939e-18,5.25653e-17,0.00361041,472336,-9.48557,1.30399,2.61937,4.47222e-05,34.732,0.0408563,0.00109462,-5.84729e-18,8.07153e-17,0.00360751,471938
38,-0.866131,1.50947,0.123472,2.94595e-05,14.1748,0.0204731,0.00143894,1.14081e-17,1.48614e-16,0.00333594,465324,-14.7312,1.30907,3.96307,4.04324e-05,55.0098,0.0488234,0.000828134,-1.68307e-17,3.74052e-16,0.00333594,465324
39,-2.17446,1.46658,0.274919,2.5735e-05,20.8362,0.0232824,0.00110534,-1.78415e-17,7.13942e-17,0.0016986,237022,-15.0578,1.28857,4.38406,4.91826e-05,51.9469,0.0526272,0.000934545,-4.91501e-17,6.21571e-16,0.0016948,236540
40,-1.3371,1.45989,0.230621,2.02916e-05,12.0884,0.015758,0.00128771,1.16423e-17,-9.71454e-17,0.00326457,460472,-9.63863,1.26792,3.04148,3.08748e-05,30.8742,0.0323455,0.000954532,1.45403e-16,3.57284e-16,0.00326457,460472
41,-1.96746,1.4283,0.353357,2.90483e-05,13.7847,0.0202144,0.00143701,5.2731e-19,2.07553e-16,0.00307217,406940,-13.1846,1.2689,4.12739,4.10486e-05,42.3594,0.0436731,0.000939907,-6.0794e-17,2.91831e-16,0.00306819,406248
42,-1.00459,1.42379,0.290107,2.44921e-05,6.92574,0.0131632,0.00186065,8.44079e-18,4.9059e-17,0.00370302,490400,-9.35561,1.26869,2.94595,3.42171e-05,30.0505,0.0335858,0.0010188,2.3045e-17,6.86352e-17,0.00370302,490400
43,-0.724626,1.48475,0.179064,2.93997e-05,8.51699,0.0158819,0.00185115,1.45966e-18,7.67949e-17,0.00374046,492854,-12.9984,1.30108,3.61318,3.3959e-05,47.0383,0.0414657,0.000818966,6.34059e-17,-1.05211e-16,0.00374046,492854
44,-3.44028,1.45924,0.417521,1.53674e-05,30.7422,0.0218712,0.000702631,-8.64144e-18,-1.03703e-16,0.00154827,308108,-15.1826,1.29693,4.28237,4.78941e-05,54.0612,0.0528535,0.000906167,7.97888e-17,-4.9361e-17,0.00154269,307472
45,-0.923191,1.47821,0.184473,2.09671e-05,10.0409,0.0145714,0.00143892,3.24258e-18,9.55748e-17,0.00338747,414308,-8.32117,1.27408,2.5777,2.92316e-05,27.2498,0.0295114,0.000990517,-2.0215e-17,2.67622e-16,0.00338481,412408
46,-2.14596,1.42737,0.375545,2.43983e-05,14.9254,0.0192799,0.00126548,1.68789e-17,-1.53575e-16,0.00360306,483762,-8.82314,1.28197,2.65263,6.43041e-05,29.7244,0.0456069,0.00140996,-1.44636e-16,7.82899e-17,0.00360306,483762
47,-1.44668,1.4068,0.349384,2.04295e-05,8.85236,0.0136286,0.00149901,2.90325e-17,7.66231e-17,0.00374173,492974,-14.7578,1.27455,4.52333,2.39206e-05,48.3698,0.0355638,0.000672611,1.00944e-17,2.9318e-17,0.00374173,492974
48,-1.18145,1.42482,0.293745,2.56073e-05,8.15617,0.014605,0.00175333,8.34988e-18,-1.85158e-17,0.00372176,487522,-13.1902,1.29611,3.73694,3.90956e-05,46.8245,0.0444517,0.000879506,3.58444e-17,7.21372e-17,0.00372077,487376
49,-1.40459,1.48217,0.187328,3.78069e-05,15.8698,0.0245908,0.00153744,2.89609e-17,-5.14585e-17,0.00283426,428890,-16.5409,1.28914,4.80216,4.53793e-05,57.183,0.0530294,0.00085574,9.7444e-17,-2.95003e-17,0.00283426,428890
