loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
31,-2.10863,1.44081,0.336363,2.0793e-05,16.1918,0.0185042,0.00112369,3.2272e-17,-1.78664e-16,0.00347054,440890,-17.5756,1.28089,5.25848,2.85032e-05,58.9337,0.0427696,0.000666436,-1.01061e-16,3.86455e-16,0.00347001,440112
32,-2.46813,1.40984,0.464566,2.04131e-05,15.2651,0.0178826,0.0011415,-6.20221e-17,-1.82833e-16,0.00373504,492522,-20.7595,1.26724,6.51641,2.34928e-05,66.2873,0.0413527,0.000568109,9.3891e-17,-1.95611e-16,0.00373504,492522
33,-1.36503,1.35815,0.442555,1.81047e-05,6.46994,0.0110667,0.00163596,-5.75603e-17,1.68818e-16,0.00304734,398974,-15.1028,1.2721,4.66894,2.30551e-05,49.0675,0.0351919,0.000655126,-4.63663e-17,-5.1998e-16,0.00304275,398330
34,-1.88399,1.50524,0.158337,2.55626e-05,28.7324,0.0271594,0.000941204,3.43703e-18,3.28651e-16,0.0023597,389918,-20.1497,1.29961,5.61504,3.82727e-05,72.4855,0.0546683,0.000700089,-6.61269e-17,5.68795e-16,0.00235971,389920
35,-1.94989,1.46231,0.267413,2.47052e-05,17.9576,0.0211871,0.00116605,-9.19667e-18,-8.81277e-17,0.00266732,415514,-15.0315,1.25323,4.96045,2.46197e-05,45.7513,0.0353274,0.000696902,-1.77324e-17,6.83616e-17,0.00266694,415484
36,-1.33496,1.46299,0.224105,2.65456e-05,12.4143,0.0182587,0.00145386,-2.87451e-17,-2.6103e-17,0.0033278,392242,-7.7417,1.28416,2.31686,5.28386e-05,26.3002,0.0388618,0.00135966,1.13932e-16,-2.96745e-16,0.00332401,389994
37,-2.13269,1.42085,0.391139,2.48428e-05,14.1851,0.0189843,0.0013086,1.29664e-17,2.88776e-16,0.00369944,490162,-10.5775,1.27118,3.29424,4.87979e-05,34.2668,0.0427972,0.00114021,-8.38319e-17,-1.71423e-16,0.00369943,490160
38,-1.06204,1.41947,0.299605,2.54544e-05,7.10246,0.0135982,0.0018719,3.1158e-17,-1.08581e-17,0.00282027,382754,-17.1858,1.27797,5.19739,2.19557e-05,57.0191,0.0369547,0.000594123,-4.16924e-17,4.3532e-16,0.00280724,381308
39,-0.776333,1.50884,0.127258,3.11081e-05,12.594,0.0198311,0.00156865,-1.05027e-17,-4.34482e-17,0.00324691,459152,-10.6897,1.29467,3.05364,4.27027e-05,37.7484,0.041729,0.00102333,-3.05489e-17,-1.2956e-16,0.00324691,459152
40,-1.77308,1.4657,0.24567,2.40332e-05,16.8674,0.0202453,0.0011871,-1.65201e-17,5.93355e-17,0.00346158,474062,-7.89216,1.28947,2.31451,6.76512e-05,27.3432,0.0447671,0.00151118,4.34097e-18,2.26525e-16,0.00346158,474062
41,-1.79164,1.4461,0.293132,2.04237e-05,14.362,0.0172601,0.00118329,1.24489e-17,-1.33121e-16,0.00337614,418714,-9.69179,1.29074,2.81493,5.0471e-05,33.724,0.0429276,0.00117573,-3.36058e-17,-1.79688e-16,0.00337562,418310
42,-2.22501,1.44553,0.335735,1.83199e-05,17.7242,0.0181615,0.00100872,3.22733e-18,3.90931e-17,0.00257825,408840,-8.95028,1.28876,2.62324,5.62972e-05,30.9189,0.0434355,0.00129611,6.87732e-17,-2.35672e-16,0.00257592,408664
43,-1.25734,1.48494,0.175847,3.95869e-05,14.6771,0.024193,0.00163629,7.89244e-17,8.51201e-18,0.00343487,465732,-14.4482,1.27819,4.37176,4.0293e-05,47.9788,0.0459194,0.000877473,1.97693e-16,3.79413e-16,0.00343378,465528
44,-1.13373,1.44833,0.245281,3.12916e-05,9.31724,0.0172023,0.00181904,-2.36358e-17,1.27067e-16,0.00351835,460380,-12.6017,1.26785,3.96152,3.23024e-05,40.339,0.0378191,0.000854129,-1.05119e-16,1.76163e-17,0.00351644,460034
45,-0.856651,1.43218,0.275386,2.28727e-05,6.29606,0.0121137,0.00188817,4.90945e-17,7.32286e-17,0.00357531,481810,-10.8089,1.29337,3.10239,3.78419e-05,37.981,0.0394177,0.000960024,-5.43085e-17,1.28149e-16,0.00357531,481810
46,-1.9327,1.44346,0.312336,1.67616e-05,15.161,0.0160708,0.00104298,5.69182e-18,-4.66991e-17,0.00160484,287180,-18.1252,1.299,5.06556,2.80093e-05,65.0515,0.0443117,0.000632096,5.334e-17,5.74575e-16,0.00160216,286916
47,-0.959221,1.47228,0.195814,1.9095e-05,9.80577,0.0137496,0.00138877,3.67419e-17,-5.52079e-17,0.00343003,472008,-8.90207,1.28319,2.66386,3.08198e-05,30.1242,0.0317739,0.000969972,1.37009e-17,1.99186e-16,0.00343003,472008
48,-2.49201,1.42225,0.431449,2.5414e-05,16.7114,0.020837,0.00121966,-2.2715e-17,2.17128e-16,0.00340961,445466,-11.145,1.274,3.43352,5.57537e-05,36.4673,0.047151,0.00118245,9.20683e-17,2.79561e-16,0.00340258,444036
49,-1.24509,1.39915,0.348632,2.29475e-05,7.315,0.0131459,0.0017456,-1.4199e-17,-9.08786e-18,0.00374303,493054,-11.2521,1.26471,3.5814,3.04512e-05,35.6311,0.0345441,0.000881519,-6.06099e-17,-8.05506e-18,0.003743,493052
